City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Boguchany,0,RU,1580586041,99,58.38,97.45,-28.46,0.76
Yushala,90,RU,1580586042,78,57.08,64.26,12.2,8.95
Kashgar,9,CN,1580586043,45,39.45,75.98,26.6,11.18
Yinchuan,0,CN,1580586044,26,38.47,106.27,25.0,4.0
Luganville,40,VU,1580586045,88,-15.53,167.17,80.6,8.05
Ostrovnoy,0,RU,1580586047,99,68.05,39.51,-10.8,12.55
Lapua,90,FI,1580586048,98,62.92,23.17,34.0,9.17
Mapimi,75,MX,1580586049,22,25.82,-103.85,59.0,4.76
Terme,75,TR,1580586050,65,41.21,36.97,44.6,6.93
Phan Thiet,0,VN,1580586051,85,10.93,108.1,61.57,2.28
Saijo,92,JP,1580586053,78,33.92,133.18,39.99,1.99
Shimoda,65,JP,1580586054,83,34.67,138.95,39.0,10.07
Del Rio,1,US,1580586056,22,29.36,-100.9,66.2,3.36
Petropavlovsk-Kamchatsky,0,RU,1580586057,45,53.05,158.65,3.2,4.47
Manuk Mangkaw,100,PH,1580586058,78,4.8,119.85,80.29,10.74
Pechenga,100,RU,1580586059,71,69.53,31.17,8.6,13.87
Sawtell,0,AU,1580586061,78,-30.38,153.1,77.0,8.05
Ust'-Ishim,100,RU,1580586062,86,57.69,71.17,5.07,7.0
Vanse,60,NO,1580586065,91,58.12,6.7,45.0,11.99
Mayo,1,US,1580586066,65,38.89,-76.51,52.0,3.36
Nong Chik,32,TH,1580586068,75,6.84,101.18,80.31,20.96
Terney,68,RU,1580586069,70,45.05,136.61,10.51,7.87
Healdsburg,1,US,1580586070,87,38.61,-122.87,64.99,1.45
Iqaluit,90,CA,1580586071,78,63.75,-68.51,10.4,6.93
Mujiayingzi,100,CN,1580586072,46,42.12,118.78,13.1,2.71
Gimli,100,CA,1580586074,62,50.63,-96.99,32.0,8.01
Velyka Oleksandrivka,8,UA,1580586075,88,47.32,33.3,37.17,5.28
Mbanza-Ngungu,91,CD,1580586077,93,-5.25,14.87,71.02,2.91
Kigoma,75,TZ,1580586079,78,-4.88,29.63,73.4,5.88
Caravelas,0,BR,1580586081,83,-17.71,-39.25,80.33,18.34
Iwaki,0,JP,1580586083,88,37.05,140.88,34.0,16.62
Airdrie,56,GB,1580585934,81,55.87,-3.98,43.0,12.75
Pangkalanbuun,100,ID,1580586085,95,-2.68,111.62,75.63,1.74
Port-Gentil,20,GA,1580586086,83,-0.72,8.78,84.2,4.7
Gelibolu,0,TR,1580586087,87,40.41,26.67,48.2,4.7
Guia de Isora,0,ES,1580586088,22,28.21,-16.78,69.01,8.05
Vanimo,94,PG,1580586089,76,-2.67,141.3,81.03,11.16
Puerto Carreno,40,CO,1580586090,44,6.19,-67.49,96.8,17.22
Ketchikan,90,US,1580586091,86,55.34,-131.65,30.2,17.22
Saravena,97,CO,1580586093,41,6.95,-71.88,90.05,1.61
Esna,0,EG,1580586094,30,25.29,32.55,51.78,7.83
Egvekinot,12,RU,1580586095,93,66.32,-179.17,-31.29,8.81
Smithers,75,CA,1580585991,54,54.78,-127.17,28.4,3.36
Bat Yam,75,IL,1580586097,77,32.02,34.75,60.01,10.29
Boulder,1,US,1580586095,8,40.08,-105.35,69.8,24.16
Vestmannaeyjar,0,IS,1580586099,80,63.44,-20.27,30.2,5.82
Yar-Sale,100,RU,1580586100,95,66.83,70.83,-3.86,23.06
Yulara,30,AU,1580586101,56,-25.24,130.99,73.4,5.82
Qiongshan,0,CN,1580586103,100,20.01,110.35,59.0,8.48
Glenluce,31,GB,1580586104,85,54.88,-4.81,43.0,1.01
Sambava,100,MG,1580586105,86,-14.27,50.17,72.97,3.33
Chambas,20,CU,1580586106,55,22.19,-78.91,87.8,5.82
Harboore,100,DK,1580586107,93,56.62,8.18,45.0,20.8
Havelock,90,US,1580586108,81,34.88,-76.9,51.01,9.17
Kloulklubed,75,PW,1580586109,83,7.04,134.26,75.2,4.7
Chunskiy,45,RU,1580585833,99,56.08,99.63,-21.15,1.1
Santo Antonio do Leverger,75,BR,1580586112,78,-15.87,-56.08,78.8,3.36
San-Pedro,100,CI,1580586113,81,4.75,-6.64,82.09,17.27
Fort Nelson,90,CA,1580586114,77,58.81,-122.7,-2.2,9.17
Weiser,1,US,1580586115,86,44.25,-116.97,48.0,2.13
Nerl,100,RU,1580586116,94,56.66,40.39,28.2,7.38
Naze,97,JP,1580586117,51,28.37,129.48,59.0,8.05
Mehamn,100,NO,1580586119,98,71.04,27.85,10.33,19.84
Marfino,90,RU,1580586121,92,55.7,37.38,26.6,8.95
Saint George's,20,GD,1580586122,70,12.06,-61.75,84.2,14.99
Pauini,67,BR,1580586123,52,-7.71,-66.98,89.56,1.63
Lincoln,1,US,1580586029,61,40.8,-96.67,48.0,9.17
La Primavera,99,CO,1580586126,34,5.49,-70.41,96.55,10.54
Tulsipur,0,NP,1580586127,77,28.13,82.3,43.29,4.47
Khvalynsk,100,RU,1580586128,96,52.49,48.11,25.75,4.88
Boysun,93,UZ,1580586130,32,38.21,67.2,40.42,5.41
Orlik,97,RU,1580586131,89,52.52,99.83,-23.26,3.56
Havre-Saint-Pierre,75,CA,1580586133,67,50.23,-63.6,19.4,5.82
Saint-Francois,75,FR,1580586134,71,46.42,3.91,51.8,4.7
Ghogha,0,IN,1580586135,50,21.68,72.28,69.48,19.46
Baghdad,97,IQ,1580586051,53,33.34,44.4,51.8,5.82
Gamba,100,GA,1580586138,79,-2.65,10.0,80.64,3.0
Finnsnes,100,NO,1580586140,62,69.23,17.98,32.0,21.92
Paamiut,6,GL,1580586141,54,61.99,-49.67,13.66,7.16
Pemba,75,MZ,1580586142,94,-12.97,40.52,80.6,8.05
Sitka,90,US,1580586143,86,57.05,-135.33,28.4,11.1
Kieta,100,PG,1580586144,74,-6.22,155.63,83.55,12.01
Gladstone,33,AU,1580586145,83,-23.85,151.25,75.2,4.7
Trelew,0,AR,1580586146,9,-43.25,-65.31,96.71,26.35
Camacupa,100,AO,1580586147,94,-12.02,17.48,64.87,4.07
Puertollano,18,ES,1580586148,91,38.69,-4.11,54.0,3.0
Mombetsu,100,JP,1580586150,78,44.35,143.35,19.17,7.45
Nishihara,49,JP,1580586151,54,26.18,127.76,59.0,4.7
Lagan,88,RU,1580586152,74,45.39,47.37,34.92,5.64
Bowen,18,AU,1580586153,94,-20.02,148.23,73.4,5.82
Vila Franca do Campo,75,PT,1580586154,93,37.72,-25.43,59.0,3.36
Turaif,42,SA,1580586155,87,31.67,38.66,42.8,9.17
Santa Isabel do Rio Negro,100,BR,1580586156,71,-0.41,-65.02,86.13,3.56
Guerrero Negro,0,MX,1580586157,13,27.98,-114.06,78.1,4.74
Divnogorsk,40,RU,1580586158,76,55.96,92.36,-5.8,1.57
Manali,20,IN,1580586160,78,13.17,80.27,78.8,3.36
Bosaso,79,SO,1580586162,74,11.28,49.18,75.0,15.35
Stromness,41,GB,1580586163,62,58.97,-3.3,37.4,13.87
Santo Tomas,20,PH,1580586164,78,14.11,121.14,73.4,3.96
Freeport,90,US,1580586103,75,40.66,-73.58,43.0,3.85
Muroto,13,JP,1580586166,79,33.28,134.15,35.06,6.02
Kristiansund,100,NO,1580586167,93,63.11,7.73,35.6,24.16
Vassouras,40,BR,1580586168,79,-22.4,-43.66,87.8,11.41
La Ronge,75,CA,1580586170,79,55.1,-105.28,24.8,9.17
Svetlogorsk,100,BY,1580586171,98,52.63,29.73,41.25,9.91
Amol,100,IR,1580586172,84,36.47,52.35,48.4,7.16
Alta Floresta,20,BR,1580586173,50,-9.88,-56.09,95.0,8.05
Tonota,0,BW,1580586174,36,-21.48,27.48,78.8,6.93
Zeya,100,RU,1580586176,99,53.75,127.27,-4.11,3.0
Nome,90,US,1580586177,77,64.5,-165.41,-0.4,17.22
Barcelos,75,PT,1580586178,100,41.54,-8.62,61.0,10.29
Vila Velha,20,BR,1580586180,70,-20.33,-40.29,86.0,17.22
Osoyoos,90,CA,1580586181,81,49.03,-119.45,53.6,3.36
Alekseyevsk,96,RU,1580586182,99,57.84,108.35,-14.03,1.21
Charters Towers,0,AU,1580586183,85,-20.1,146.27,72.18,7.47
Matagami,90,CA,1580586184,92,49.75,-77.63,28.4,8.05
Meadow Lake,1,US,1580586185,20,34.8,-106.54,57.2,14.99
Shahreza,0,IR,1580586186,52,32.03,51.88,35.96,23.78
Cacule,17,BR,1580586188,69,-14.5,-42.22,77.83,1.95
Ladybrand,100,ZA,1580586190,44,-29.19,27.46,70.75,12.41
Seoul,1,KR,1580586191,79,37.57,126.98,32.0,1.14
Marawi,100,PH,1580586192,86,8.0,124.29,78.01,5.01
Meulaboh,99,ID,1580586193,73,4.14,96.13,82.31,4.16
Pontianak,99,ID,1580586194,95,-0.03,109.33,73.4,2.24
Gashua,83,NG,1580586195,12,12.87,11.05,65.75,9.19
Trofors,73,NO,1580586196,86,65.53,13.41,39.2,19.46
Asau,100,RO,1580586197,58,46.43,26.4,55.4,12.75
Khani,75,GE,1580586199,92,41.96,42.96,30.2,4.7
El Bagre,67,CO,1580585907,64,7.59,-74.81,86.9,4.5
Udachny,40,RU,1580586201,66,66.42,112.4,-32.8,4.47
Clearlake,1,US,1580586202,87,38.96,-122.63,64.99,3.33
Aleksandrovskoye,69,RU,1580586203,85,44.71,43.0,24.8,6.71
Senneterre,90,CA,1580586204,92,48.38,-77.23,28.4,11.41
Santa Fe,0,AR,1580586025,32,-31.63,-60.7,93.0,5.01
Gao,0,ML,1580586206,11,16.64,1.64,74.84,10.96
Perth,0,AU,1580585975,49,-31.93,115.83,68.0,10.29
Pacific Grove,1,US,1580586209,63,36.62,-121.92,68.0,3.36
Krasnosel'kup,11,RU,1580586210,96,65.7,82.47,-24.7,11.23
Bilma,0,NE,1580586211,17,18.69,12.92,62.69,6.31
Bassar,1,TG,1580586212,13,9.25,0.78,75.38,4.59
Novominskaya,99,RU,1580586213,95,46.32,38.96,41.2,11.39
Khovd,0,MN,1580586214,78,48.01,91.64,-8.3,1.1
Tual,75,ID,1580586215,76,-5.67,132.75,83.84,13.71
Ingham,90,US,1580586216,86,42.6,-84.38,35.01,8.05
Mishan,0,CN,1580586217,89,45.55,131.88,-2.31,6.76
Jinchang,0,CN,1580586219,52,38.5,102.17,16.63,0.83
Jeremie,30,HT,1580586220,72,18.65,-74.12,75.54,1.57
The Valley,40,AI,1580586221,69,18.22,-63.06,84.2,13.87
Fortuna,1,US,1580586222,87,40.6,-124.16,55.99,6.93
Jodhpur,0,IN,1580586223,32,26.29,73.03,55.98,8.16
Sarangani,100,PH,1580586224,74,5.4,125.46,81.59,2.17
Nalut,0,LY,1580586225,34,30.33,10.85,57.38,8.72
Marzuq,0,YE,1580586226,66,14.4,46.47,64.35,4.36
Mazagao,40,BR,1580585949,62,-0.12,-51.29,89.6,11.41
Bainbridge Island,20,US,1580586229,76,47.63,-122.52,48.2,8.05
Malbork,75,PL,1580586230,93,54.04,19.03,48.99,10.29
Makakilo City,75,US,1580586231,100,21.35,-158.09,75.2,5.82
Calama,0,CL,1580586232,14,-22.47,-68.93,78.8,23.04
Torbay,75,CA,1580586233,67,47.67,-52.73,24.01,11.41
Dhidhdhoo,4,MV,1580586234,70,6.88,73.1,81.43,11.34
Surskoye,99,RU,1580586235,95,54.48,46.72,28.47,5.19
Alice Springs,90,AU,1580586237,100,-23.7,133.88,69.8,11.41
Port Hardy,75,CA,1580586238,93,50.7,-127.42,35.6,6.93
Ouahigouya,0,BF,1580586239,11,13.58,-2.42,75.72,9.95
San Isidro,40,PE,1580586201,69,-12.12,-77.05,78.8,9.17
Doka,0,SD,1580586241,23,13.52,35.77,70.57,8.23
Aquiraz,20,BR,1580586242,66,-3.9,-38.39,86.0,9.17
Zhigansk,57,RU,1580586243,95,66.77,123.37,-31.02,8.25
San Jose,1,US,1580586163,82,37.34,-121.89,66.0,10.29
Kosh-Agach,87,RU,1580586245,74,50.0,88.67,-18.22,1.81
Nizhneangarsk,100,RU,1580586247,91,55.78,109.55,-20.9,4.38
North Bend,90,US,1580586248,93,43.41,-124.22,55.0,11.41
Yong'an,100,CN,1580586249,96,39.7,113.69,17.96,7.56
Ende,100,ID,1580586251,74,-8.84,121.66,82.98,6.46
Misratah,96,LY,1580586252,65,32.38,15.09,64.04,5.93
Agadir,55,MA,1580586060,67,30.42,-9.6,62.6,9.17
Morehead,90,US,1580586254,70,37.27,-87.18,48.0,9.17
Cavalcante,100,BR,1580586255,66,-13.8,-47.46,73.6,3.98
Nelson Bay,75,AU,1580586257,74,-32.72,152.15,91.0,8.05
Soligalich,100,RU,1580586258,96,59.08,42.29,21.47,5.84
Ardakan,20,IR,1580586259,34,32.31,54.02,51.8,4.7
Betong,92,TH,1580586260,95,5.77,101.07,67.53,3.91
